indice_tiempo,oferta_global_pib,oferta_global_importacion,demanda_global_exportacion,demanda_global_ibif,demanda_global_consumo_priv,demanda_global_consumo_publico
1998-10-01,283518.407931,36812.8785954,30048.9206256,57141.3390809,35365.6469799,196292.291485
1999-01-01,279986.184234,34403.3836182,30157.9403621,53988.7456678,35860.8289197,193296.432585
1999-04-01,276822.599669,33495.3320973,30215.8584489,53148.513549,35837.3455646,192597.314334
1999-07-01,276024.934025,34737.458826,30310.7613719,52595.7498147,36187.7605948,192547.471776
1999-10-01,280642.337071,35446.1904584,31111.0228171,52732.2529684,36807.4279208,195997.237305
2000-01-01,279688.146445,34900.9662429,31071.4183747,51822.0802709,36359.4496295,194392.591224
2000-04-01,275188.264865,34411.400007,31131.4793,48937.3135728,35844.0207481,192106.963064
2000-07-01,274486.025451,34147.119602,30874.5761516,48940.7500965,36648.711649,191765.921343
2000-10-01,275328.308239,34405.306148,32009.5021737,48308.4290599,36676.1429733,191064.378369
2001-01-01,275778.872401,35132.7929222,31132.0309295,46782.9692501,36607.3322258,191018.527017
2001-04-01,273490.410348,32801.635869,32830.5302657,45625.3064812,35793.2008247,187800.800004
2001-07-01,260784.377089,28110.0042429,32619.2195162,40422.7780438,35768.7696074,178763.129376
2001-10-01,245933.038162,22592.9329659,31933.8182885,34167.2942249,34347.4543421,167577.478603
2002-01-01,233806.034456,16359.4951755,32534.6312312,25720.0375961,33950.7301384,157931.240097
2002-04-01,234797.339707,13685.4708023,32715.8079754,26110.0709615,34184.5710545,153540.961757
2002-07-01,234972.257378,13853.8931064,33580.051109,26044.9923284,33396.9786899,153746.21587
2002-10-01,237366.758458,15349.1699158,33660.0376843,28256.3951141,33747.2781172,155850.652277
2003-01-01,246137.500958,17460.800208,33886.237565,31824.9944001,33965.2320677,161252.355143
2003-04-01,253926.091556,19668.8016448,35845.3218534,35047.2973497,35323.6404872,165897.008833
2003-07-01,260131.126399,20886.4594951,35348.3199546,37751.6354178,34090.6848261,170211.147132
2003-10-01,265012.484088,23488.7106522,35353.944627,42013.9088325,33876.1936191,174443.501892
2004-01-01,271846.035399,26878.7409965,36116.4197024,47712.9551959,34268.7195774,179210.409656
2004-04-01,274844.60622,27841.6790511,36413.1999858,47565.3457175,35007.2503057,179879.637785
2004-07-01,281067.250587,29061.5522875,38566.3951383,49951.1250817,35621.3293651,185821.336195
2004-10-01,288807.259794,30423.9646649,40732.8311735,51888.7850049,36089.0637518,190711.443364
2005-01-01,295313.011658,32104.2353227,41959.6754667,54375.8175888,36159.9134053,194637.493315
2005-04-01,302054.085725,35076.7047295,42995.7619015,59673.1104297,36894.7597275,198454.894266
2005-07-01,307699.070712,34180.7128515,43839.489357,61627.7384546,38096.5825656,202430.180997
2005-10-01,313987.950906,35843.9710962,43537.5232747,66157.1045269,38458.9973016,205744.541422
2006-01-01,320943.555721,36676.8834805,44753.1042159,67067.5994763,39037.0021179,209137.343734
2006-04-01,326541.43441,38794.6257606,45054.8172307,70443.6140987,38969.95108,215345.365099
2006-07-01,334045.79917,40910.3551017,46491.312612,73943.1339434,39352.0148608,217389.199085
2006-10-01,340729.091699,41919.8096572,48667.5649414,74298.3384815,40101.2909413,221654.509082
2007-01-01,346574.151463,44346.4282839,49370.7859344,76429.3239866,41503.108046,227093.7541
2007-04-01,353380.02439,46142.337557,48722.3030489,79197.5069752,41628.0119408,234532.745923
2007-07-01,364554.055554,48704.4340341,50110.3765246,82957.9894351,42560.1684922,237136.530715
2007-10-01,372171.379592,51548.4661249,53581.3504921,86165.089603,43673.774521,242199.549263
2008-01-01,375536.090068,55233.6994391,53437.6338583,91648.0250478,44274.2832004,246342.754673
2008-04-01,382010.743749,56385.5292826,47263.2609238,89257.36761,44642.4441277,251396.507477
2008-07-01,389724.742912,55387.3491751,55586.4913743,89136.9443627,45383.3124176,253846.882185
2008-10-01,386505.156271,50618.1591032,47832.3698436,84170.2749795,46743.0942544,250929.005666
2009-01-01,382706.384201,41907.9485216,48079.2635325,78918.2051338,47344.205864,247988.567895
2009-04-01,381151.132727,42691.3032802,48062.8922776,79184.8748357,47140.1685146,248662.45681
2009-07-01,386610.265274,43660.2818713,45410.984599,78221.2623585,49250.8077622,252961.342702
2009-10-01,396349.755797,47961.2513269,49491.4915908,81784.781672,50404.8748591,257439.153594
2010-01-01,408573.087931,54284.0260621,51036.7761578,89367.6655931,51384.5548466,264807.715428
2010-04-01,420107.48058,57565.3031227,56789.2297017,94430.1513687,52914.1371104,269654.334266
2010-07-01,424376.978143,60552.0084608,57078.0984979,98790.2969995,53666.3039218,276437.153941
2010-10-01,435486.974345,63692.8623544,54031.9596426,103049.142039,54424.3761211,286683.101365
2011-01-01,447115.094937,65292.346002,54813.6446543,106439.014001,56593.2005538,293517.677741
2011-04-01,460878.719021,71716.8421245,57369.0954607,117203.44813,58898.7351575,301339.391145
2011-07-01,464668.711533,71359.6869992,57985.8953445,114698.537816,59370.4870429,307895.432875
2011-10-01,465621.892509,69739.8188743,58088.6035406,111122.687053,60663.4692458,311741.438239
2012-01-01,467326.714039,65856.7132973,56450.8887827,108618.869016,61458.224966,312995.038246
2012-04-01,464103.573781,61985.4676594,52229.0891783,98774.0684993,62509.3329973,314146.636921
2012-07-01,467478.830141,66663.6659773,52829.6372884,110277.685057,62740.5874555,315269.345734
2012-10-01,474294.941806,68118.0864605,51054.8378658,109156.655378,63866.934997,325541.661095
2013-01-01,484075.144536,69438.7460867,51716.9738152,110316.878983,65488.5131817,333417.544668
2013-04-01,494589.525369,72181.0455355,54181.8550258,113939.14684,67329.7819097,340929.133946
2013-07-01,493771.876096,73764.3197483,53767.3160914,117132.342046,68011.4906593,342058.286273
